text,request_type
I've been waiting for my order for over three weeks and nobody can give me a straight answer on where it is. - John Doe,Complaint
The dress arrived with a noticeable tear along the seam. I am returning it. - Robert Thomas,Return
Please send me a prepaid shipping label to return order #88139. - Sarah Martinez,Return
"To Whom It May Concern, I see an unauthorized charge from your company on my bank statement. Please refund it immediately. Regards, David Wilson",Refund
"Hey, The dress arrived with a noticeable tear along the seam. I am returning it. Thanks, Michael Brown",Return
"Hello,

Your app keeps freezing every time I try to update my profile information.

Best,
Sarah Martinez",Complaint
"Dear Support, Do you offer wholesale discounts for bulk orders of over 100 units? Best regards, David Wilson",Other
Your app keeps freezing every time I try to update my profile information. - John Doe,Complaint
"Hello,

This is the third time this month that my delivery has been delayed. Horrible service!

Regards,
Michael Brown",Complaint
I want to return the jacket I bought last week. It just doesn't fit right. - Emily Davis,Return
Your service has been down for three days this week. I expect a partial refund for this month's billing cycle. - Jane Smith,Refund
"Hi there,

Are your products safe for people with severe nut allergies?

Sincerely,
Robert Thomas",Other
"Hi customer support, I'm trying to find out when the out-of-stock winter jackets will be replenished. Best, Michael Brown",Other
"Hey,

The quality of your products has gone downhill significantly. This is unacceptable.

Best regards,
Robert Thomas",Complaint
"The item arrived damaged, so I would like to exchange it for a new one. - Jane Smith",Exchange
"To Whom It May Concern, Do you ship internationally to Australia, and if so, what are the shipping rates? Thank you, Robert Thomas",Other
I want to return the jacket I bought last week. It just doesn't fit right. - Sarah Martinez,Return
I am extremely frustrated with how long it takes to get a response from your support team. - Michael Brown,Complaint
The color of the couch is much darker than it looked online. I need to return it. - Emily Davis,Return
"Hi customer support, Do you ship internationally to Australia, and if so, what are the shipping rates? Thank you, Sarah Martinez",Other
The color of the couch is much darker than it looked online. I need to return it. - John Doe,Return
"Hello team,

Can I exchange order #53064 for a completely different item of the same value?

Best,
Emily Davis",Exchange
"To Whom It May Concern,

I want to return the jacket I bought last week. It just doesn't fit right.

Sincerely,
David Wilson",Return
I am looking for the user manual for model #24316. Can you email me a PDF copy? - David Wilson,Other
"Hi there, Please send me a prepaid shipping label to return order #96846. Regards, Linda Anderson",Return
"Hello team,

I want to return the jacket I bought last week. It just doesn't fit right.

Thanks,
Linda Anderson",Return
"Hello,

I need to exchange this sweater for a larger size. What is the process?

Thank you,
Robert Thomas",Exchange
"Hey,

Your app keeps freezing every time I try to update my profile information.

Looking forward to your reply,
Linda Anderson",Complaint
"Hi there,

I see an unauthorized charge from your company on my bank statement. Please refund it immediately.

Best,
James Taylor",Refund
"To Whom It May Concern,

The dress arrived with a noticeable tear along the seam. I am returning it.

Thank you,
Linda Anderson",Return
"Hello, Can you please help me change the email address associated with my account? Thanks, John Doe",Other
"Hey,

I'd like to exchange the blue sneakers for the exact same pair in black if possible.

Looking forward to your reply,
Linda Anderson",Exchange
I want to return the jacket I bought last week. It just doesn't fit right. - Sarah Martinez,Return
Can I update the shipping address for my order #98276 before it leaves your warehouse? - David Wilson,Other
"Hey,

Your service has been down for three days this week. I expect a partial refund for this month's billing cycle.

Sincerely,
Michael Brown",Refund
Is it possible to exchange an online order at a local retail store? - Linda Anderson,Exchange
"Hello,

The phone case I received is for the wrong model. I need to exchange it for the iPhone 15 Pro version.

Best,
Robert Thomas",Exchange
"Hi there, I accidentally bought the wrong subscription plan. Can you please refund the difference or cancel and refund completely? Best regards, Sarah Martinez",Refund
"The item arrived damaged, so I would like to exchange it for a new one. - Jane Smith",Exchange
"Hey,

The headphones I ordered are defective (left side has no sound). I want to exchange them for a working pair.

Thanks,
Sarah Martinez",Exchange
"To Whom It May Concern, I received a duplicate order by mistake. I want to return the extra one. Best regards, Jane Smith",Return
"Hello team, I'd like to exchange the blue sneakers for the exact same pair in black if possible. Thank you, Linda Anderson",Exchange
"Dear Support, The dress arrived with a noticeable tear along the seam. I am returning it. Best regards, James Taylor",Return
"Hey,

The quality of your products has gone downhill significantly. This is unacceptable.

Regards,
Barbara Jackson",Complaint
"Hi there,

I just wanted to say thank you for the amazing service! My daughter loved her gift.

Thanks,
Jane Smith",Other
"To Whom It May Concern,

I see an unauthorized charge from your company on my bank statement. Please refund it immediately.

Thanks,
Linda Anderson",Refund
"Hey, Your app keeps freezing every time I try to update my profile information. Sincerely, Jane Smith",Complaint
"To Whom It May Concern,

The headphones I ordered are defective (left side has no sound). I want to exchange them for a working pair.

Thanks,
Sarah Martinez",Exchange
Are your products safe for people with severe nut allergies? - Robert Thomas,Other
I'm trying to find out when the out-of-stock winter jackets will be replenished. - Emily Davis,Other
I'd like to exchange the blue sneakers for the exact same pair in black if possible. - Sarah Martinez,Exchange
"My order #30866 never arrived, and tracking says it was lost by the courier. I want my money back. - Emily Davis",Refund
The dress arrived with a noticeable tear along the seam. I am returning it. - Michael Brown,Return
"To Whom It May Concern,

My order #42098 never arrived, and tracking says it was lost by the courier. I want my money back.

Best regards,
John Doe",Refund
Can I update the shipping address for my order #18163 before it leaves your warehouse? - Barbara Jackson,Other
"To Whom It May Concern, Can you please help me change the email address associated with my account? Looking forward to your reply, Emily Davis",Other
"Hello, Can you please help me change the email address associated with my account? Thanks, Linda Anderson",Other
I received a duplicate order by mistake. I want to return the extra one. - John Doe,Return
"To Whom It May Concern,

I accidentally bought the wrong subscription plan. Can you please refund the difference or cancel and refund completely?

Regards,
Emily Davis",Refund
"Hello, I am extremely frustrated with how long it takes to get a response from your support team. Sincerely, Sarah Martinez",Complaint
"Hey,

Your website kept crashing during checkout, and now I see multiple pending charges on my card.

Regards,
Linda Anderson",Complaint
"To Whom It May Concern,

I am looking for the user manual for model #99224. Can you email me a PDF copy?

Best,
James Taylor",Other
"Hi customer support, Your app keeps freezing every time I try to update my profile information. Best, Michael Brown",Complaint
"Hello team,

The headphones I ordered are defective (left side has no sound). I want to exchange them for a working pair.

Thanks,
Emily Davis",Exchange
The item I received was completely broken. I would like a full refund instead of a replacement. - Robert Thomas,Refund
"Dear Support, I received a duplicate order by mistake. I want to return the extra one. Best, Robert Thomas",Return
"Dear Support,

The quality of your products has gone downhill significantly. This is unacceptable.

Best regards,
Sarah Martinez",Complaint
"Dear Support,

I would like to delete my account and have all my personal data removed under GDPR.

Sincerely,
John Doe",Other
"Hi customer support,

I've been waiting for my order for over three weeks and nobody can give me a straight answer on where it is.

Thanks,
David Wilson",Complaint
I am extremely frustrated with how long it takes to get a response from your support team. - Sarah Martinez,Complaint
"Dear Support,

I received the wrong variant of the coffee maker. I need to exchange it for the one I actually ordered.

Regards,
Sarah Martinez",Exchange
"Hello team,

Your app keeps freezing every time I try to update my profile information.

Thanks,
Barbara Jackson",Complaint
I've been waiting for my order for over three weeks and nobody can give me a straight answer on where it is. - John Doe,Complaint
"Dear Support, The product did not match the description on your website at all. I want a refund. Regards, Barbara Jackson",Refund
"Hey,

I'd like to exchange the blue sneakers for the exact same pair in black if possible.

Thanks,
Sarah Martinez",Exchange
"Hey,

The item I received was completely broken. I would like a full refund instead of a replacement.

Best regards,
Jane Smith",Refund
Please send me a prepaid shipping label to return order #33788. - Linda Anderson,Return
"Hey,

I am not satisfied with the quality of this software. I'm within the 30-day window, so please process my refund.

Looking forward to your reply,
David Wilson",Refund
I just wanted to say thank you for the amazing service! My daughter loved her gift. - Robert Thomas,Other
Are your products safe for people with severe nut allergies? - Linda Anderson,Other
"Hey, Your customer service representative was extremely rude to me on the phone today. Best, Robert Thomas",Complaint
"Hello, Can I return an item at one of your physical store locations instead of mailing it back? Best regards, David Wilson",Return
"Hi customer support,

I want to return the jacket I bought last week. It just doesn't fit right.

Best,
James Taylor",Return
"Hello, The item I received was completely broken. I would like a full refund instead of a replacement. Thanks, John Doe",Refund
"The packaging was completely torn open when it arrived, and some components are missing. - Robert Thomas",Complaint
The delivery driver just threw the package onto my driveway in the rain. The contents are ruined. - Linda Anderson,Complaint
"Hi customer support,

I've been waiting for my order for over three weeks and nobody can give me a straight answer on where it is.

Looking forward to your reply,
Sarah Martinez",Complaint
I received a duplicate order by mistake. I want to return the extra one. - James Taylor,Return
"Hello,

I need to exchange this sweater for a larger size. What is the process?

Thanks,
Barbara Jackson",Exchange
"Dear Support, The item I received was completely broken. I would like a full refund instead of a replacement. Thank you, Sarah Martinez",Refund
"Dear Support, I am not satisfied with the quality of this software. I'm within the 30-day window, so please process my refund. Sincerely, Sarah Martinez",Refund
"Hi there, Please send me a prepaid shipping label to return order #62757. Best regards, Linda Anderson",Return
